Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2014,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,5.0
2019,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,40.4
2023,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,37.1
2024,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,44.4
2019,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],,Rural,Percent,53.1
2019,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],,Urban,Percent,12.7
2019,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],Bulawayo,,Percent,18.1
2019,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],Harare,,Percent,10.8
2019,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],Manicaland,,Percent,46.0
2019,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],Mashonaland Central,,Percent,49.4
2019,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],Masholanad East,,Percent,45.2
2019,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],Midlands,,Percent,50.4
2019,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],Matabeland North,,Percent,57.8
2019,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],Matabeland South,,Percent,59.7
2019,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],Masvingo,,Percent,48.3
2019,Normal value,Units,ZIMSTAT_Labourforce_Report,Proportion of population covered by at least one social protection benefit [1.3.1],Mashonaland West,,Percent,36.0
